vocabulary_id	vocabulary_name	vocabulary_reference	vocabulary_version	vocabulary_concept_id
Relationship	OMOP Relationship	OMOP generated		44819235
US Census	Census regions of the United States (USCB)	https://www.census.gov/geo/maps-data/data/tiger-cart-boundary.html	US Census 2017 Release	32570
Plan Stop Reason	OMOP Plan Stop Reason	OMOP generated		32474
Cost Type	OMOP Cost Type	OMOP generated		5029
Meas Type	OMOP Measurement Type	OMOP generated		44819152
Episode	OMOP Episode	OMOP generated	Episode 20201014	32523
Visit	OMOP Visit	OMOP generated	Visit 20211216	44819119
Device Type	OMOP Device Type	OMOP generated		44819151
NDC	National Drug Code (FDA and manufacturers)	http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html, http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/UCM070838.zip	NDC 20230122	44819105
CPT4	Current Procedural Terminology version 4 (AMA)	http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html	2022 Release	44819100
UB04 Typ bill	UB04 Type of Bill - Institutional (USHIK)	https://ushik.ahrq.gov/ViewItemDetails?&system=apcd&itemKey=196987000		32044
RxNorm	RxNorm (NLM)	http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html	RxNorm 20230103	44819104
Race	Race and Ethnicity Code Set (USBC)	http://www.cdc.gov/nchs/data/dvs/Race_Ethnicity_CodeSet.pdf	Version 1.0	44819109
CMS Place of Service	Place of Service Codes for Professional Claims (CMS)	http://www.cms.gov/Medicare/Medicare-Fee-for-Service-Payment/PhysicianFeeSched/downloads//Website_POS_database.pdf	2009-01-11	44819110
Drug Type	OMOP Drug Exposure Type	OMOP generated		44819126
ABMS	Provider Specialty (American Board of Medical Specialties)	http://www.abms.org/member-boards/specialty-subspecialty-certificates	2018-06-26 ABMS	45756746
Obs Period Type	OMOP Observation Period Type	OMOP generated		44819149
UB04 Point of Origin	UB04 Claim Source Inpatient Admission Code (CMS)	https://www.resdac.org/cms-data/variables/Claim-Source-Inpatient-Admission-Code		32045
SNOMED	Systematic Nomenclature of Medicine - Clinical Terms (IHTSDO)	http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html	2021-07-31 SNOMED CT International Edition; 2021-09-01 SNOMED CT US Edition; 2021-11-24 SNOMED CT UK Edition	44819097
Sponsor	OMOP Sponsor	OMOP generated		32472
ICD10CM	International Classification of Diseases, Tenth Revision, Clinical Modification (NCHS)	http://www.cdc.gov/nchs/icd/icd10cm.htm	ICD10CM FY2023 code descriptions	44819098
SOPT	Source of Payment Typology (PHDSC)	https://www.nahdo.org/sopt	SOPT Version 9.2	32473
Ethnicity	OMOP Ethnicity	OMOP generated		44819134
Currency	International Currency Symbol (ISO 4217)	http://www.iso.org/iso/home/standards/currency_codes.htm	2008	44819153
Type Concept	OMOP Type Concept	OMOP generated	Type Concept 20221030	32808
UB04 Pt dis status	UB04 Patient Discharge Status Code (CMS)	https://www.resdac.org/cms-data/variables/patient-discharge-status-code		32047
CDM	OMOP Common DataModel	https://github.com/OHDSI/CommonDataModel	CDM v6.0.0	32485
Note Type	OMOP Note Type	OMOP generated		44819146
UCUM	Unified Code for Units of Measure (Regenstrief Institute)	http://aurora.regenstrief.org/~ucum/ucum.html#section-Alphabetic-Index	Version 1.8.2	44819107
ICD9CM	International Classification of Diseases, Ninth Revision, Clinical Modification, Volume 1 and 2 (NCHS)	http://www.cms.gov/Medicare/Coding/ICD9ProviderDiagnosticCodes/codes.html	ICD9CM v32 master descriptions	5046
Medicare Specialty	Medicare provider/supplier specialty codes (CMS)	http://www.cms.gov/Medicare/Provider-Enrollment-and-Certification/MedicareProviderSupEnroll/Taxonomy.html	2018-06-26 Specialty	44819138
Condition Status	OMOP Condition Status	OMOP generated		32887
Revenue Code	UB04/CMS1450 Revenue Codes (CMS)	http://www.mpca.net/?page=ERC_finance	2010 Release	44819133
HCPCS	Healthcare Common Procedure Coding System (CMS)	http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html	20221001 Alpha Numeric HCPCS File	44819101
RxNorm Extension	OMOP RxNorm Extension	OMOP generated	RxNorm Extension 2023-01-16	252
Cost	OMOP Cost	OMOP generated		581457
Metadata	OMOP Metadata	OMOP generated		32675
NUCC	National Uniform Claim Committee Health Care Provider Taxonomy Code Set (NUCC)	http://www.nucc.org/index.php?option=com_content&view=article&id=107&Itemid=132	2018-06-26 NUCC	44819137
ATC	WHO Anatomic Therapeutic Chemical Classification	http://www.whocc.no/atc_ddd_index/	RxNorm 20210907	44819117
Procedure Type	OMOP Procedure Occurrence Type	OMOP generated		44819128
Vocabulary	OMOP Vocabulary	OMOP generated		44819232
Observation Type	OMOP Observation Type	OMOP generated		44819129
Korean Revenue Code	Korean Revenue Code (KNHIS)	OMOP generated		32724
UB04 Pri Typ of Adm	UB04 Claim Inpatient Admission Type Code (CMS)	https://www.resdac.org/cms-data/variables/Claim-Inpatient-Admission-Type-Code		32046
Condition Type	OMOP Condition Occurrence Type	OMOP generated		44819127
SPL	Structured Product Labeling (FDA)	http://www.fda.gov/Drugs/InformationOnDrugs/ucm142438.htm	NDC 20230122	44819140
OMOP Extension	OMOP Extension (OHDSI)	OMOP generated	OMOP Extension 20230110	32758
Domain	OMOP Domain	OMOP generated		44819147
OSM	OpenStreetMap (OSMF)	https://www.openstreetmap.org/copyright/en, https://wambachers-osm.website/boundaries/	OSM Release 2019-02-21	32541
None	OMOP Standardized Vocabularies	OMOP generated	v5.0 23-JAN-23	44819096
Visit Type	OMOP Visit Type	OMOP generated		44819150
Death Type	OMOP Death Type	OMOP generated		44819135
ICD9Proc	International Classification of Diseases, Ninth Revision, Clinical Modification, Volume 3 (NCHS)	http://www.cms.gov/Medicare/Coding/ICD9ProviderDiagnosticCodes/codes.html	ICD9CM v32 master descriptions	44819099
Concept Class	OMOP Concept Class	OMOP generated		44819233
Cohort Type	OMOP Cohort Type	OMOP generated		44819234
Plan	OMOP Health Plan	OMOP generated		32471
Gender	OMOP Gender	OMOP generated		44819108
LOINC	Logical Observation Identifiers Names and Codes (Regenstrief Institute)	http://loinc.org/downloads/loinc	LOINC 2.73	44819102
